
 fun F-01 | d 10000 |

 m 600 | t 5.244766335934401 | y 2490619468.682404 | x [2 0 9 ... 1 9 9]
 m 800 | t 6.200441068038344 | y 2488269639.715587 | x [9 0 0 ... 2 7 6]
 m 900 | t 6.687756183091551 | y 2483897769.491013 | x [7 7 8 ... 2 3 0]
 m 1100 | t 7.6295042699202895 | y 2476131553.1758738 | x [6 3 1 ... 2 9 4]
 m 1300 | t 8.574163073906675 | y 2473821506.4068356 | x [2 6 2 ... 2 7 7]
 m 1400 | t 9.041832864051685 | y 2461563622.678751 | x [2 3 8 ... 4 1 0]
 m 1900 | t 11.417703204089776 | y 2458700785.9694285 | x [0 0 5 ... 7 3 7]
 m 2100 | t 12.352748318109661 | y 2457023379.284506 | x [10  8  2 ...  2  5  1]
 m 2200 | t 12.823148594936356 | y 2439927008.686399 | x [ 1  4  2 ...  1 10  1]
 m 2600 | t 14.732858827104792 | y 2434987188.969759 | x [4 0 0 ... 6 9 3]
 m 2700 | t 15.21676630503498 | y 2423664226.912007 | x [0 5 5 ... 3 4 2]
 m 3200 | t 17.586795669049025 | y 2421436596.9636 | x [6 8 2 ... 1 4 7]
 m 3600 | t 19.562483655987307 | y 2406396631.9647083 | x [6 0 8 ... 1 2 7]
 m 4200 | t 22.392998960101977 | y 2404879773.11856 | x [10  1  6 ...  1  5  7]
 m 4500 | t 23.911572704091668 | y 2386081098.3065014 | x [10  3  8 ...  9  4  7]
 m 5100 | t 26.72938490496017 | y 2366566683.4737716 | x [0 2 8 ... 3 4 2]
 m 5800 | t 30.09494714299217 | y 2347316772.1877813 | x [10  5  3 ...  1  2  9]
 m 6300 | t 32.46462161606178 | y 2338168332.4179773 | x [10  1  8 ...  1  9  3]
 m 8000 | t 40.702397390967235 | y 2334567426.430912 | x [0 5 5 ... 9 0 1]
 m 8600 | t 43.55198554391973 | y 2334365324.0711784 | x [9 9 5 ... 2 6 3]
 m 9700 | t 48.82084648008458 | y 2332647047.422924 | x [ 6  0  3 ... 10  9  4]
 m 9900 | t 49.77688097697683 | y 2330194786.9721813 | x [7 7 5 ... 7 2 7]
 
 fun F-05 | d 10000 |

 m 100 | t 2.639834630070254 | y inf | x [ 9 10  6 ...  4  0  7]
 
 fun F-06 | d 10000 |

 m 100 | t 2.6343437139876187 | y 329824597809.0 | x [ 7  1  6 ...  2  6 10]
 m 300 | t 3.3955500698648393 | y 329789488972.0 | x [ 4 10  9 ...  2  8  6]
 m 500 | t 4.145098380045965 | y 329787746587.0 | x [10  8  1 ...  6  2  1]
 m 700 | t 4.902190939057618 | y 329756402288.0 | x [9 5 8 ... 2 3 9]
 m 1000 | t 6.029395401943475 | y 329752721918.0 | x [ 7 10  9 ...  0  8  0]
 m 1200 | t 6.781860911985859 | y 329751474678.0 | x [6 1 1 ... 4 7 7]
 m 1300 | t 7.1575062030460685 | y 329749337420.0 | x [10  4  7 ...  0  2  1]
 m 1400 | t 7.5351428389549255 | y 329735416855.0 | x [ 3  1  1 ...  8 10  9]
 m 1500 | t 7.909675580915064 | y 329696989101.0 | x [10 10  4 ...  5  3  4]
 m 2000 | t 9.801390646025538 | y 329685310019.0 | x [6 3 7 ... 0 4 0]
 m 2200 | t 10.562218195060268 | y 329684545387.0 | x [ 2 10 10 ...  1  3 10]
 m 2400 | t 11.360656562028453 | y 329681762379.0 | x [3 4 6 ... 5 3 7]
 m 2600 | t 12.12476104288362 | y 329656075219.0 | x [5 4 2 ... 8 8 8]
 m 3000 | t 13.643628018908203 | y 329634473732.0 | x [ 6  7  1 ...  8  8 10]
 m 3200 | t 14.379104278981686 | y 329624091075.0 | x [ 4 10 10 ...  9  9  2]
 m 3500 | t 15.489416768075898 | y 329600617341.0 | x [4 1 4 ... 4 6 8]
 m 3800 | t 16.606405351078138 | y 329595135039.0 | x [ 4 10  9 ...  2 10  4]
 m 4000 | t 17.350522779859602 | y 329574560928.0 | x [4 1 4 ... 0 4 2]
 m 4600 | t 19.57042549108155 | y 329567993354.0 | x [4 5 3 ... 2 6 2]
 m 5000 | t 21.078488602070138 | y 329560250996.0 | x [ 8  4  3 ...  3 10 10]
 m 5500 | t 22.945676885079592 | y 329546245340.0 | x [ 8 10  7 ...  0  0  6]
 m 5700 | t 23.69692819705233 | y 329532183245.0 | x [ 4  5 10 ...  8  4  0]
 m 6200 | t 25.56435862998478 | y 329520429737.0 | x [ 5  5  3 ...  9 10  2]
 m 6400 | t 26.318115520989522 | y 329505035431.0 | x [4 5 6 ... 7 4 1]
 m 7000 | t 28.54220254905522 | y 329504054107.0 | x [ 8 10  4 ...  3  8  7]
 m 7300 | t 29.663548243930563 | y 329500109257.0 | x [ 5 10  1 ... 10  9  6]
 m 7700 | t 31.153339327080175 | y 329481875938.0 | x [5 4 7 ... 8 5 5]
 m 8400 | t 33.79905688087456 | y 329468627659.0 | x [5 4 7 ... 6 5 3]
 m 9900 | t 39.4870069550816 | y 329467697978.0 | x [ 7 10  3 ...  9  9  2]

 fun F-07 | d 10000 |

