,F-XX,m,t,y
0,F-01,100,4.011510693933815,116727455716.0
1,F-02,600,4.836920642992482,414757652091.0
2,F-03,8100,36.918720634886995,4987.720409503912
3,F-04,8000,37.03646717313677,2519801369.3961554
4,F-06,7000,32.24349121307023,329726163519.0
5,F-07,100,2.777613651007414,1931332804.0
6,F-08,100,2.675969764124602,58.57979720503591
7,F-09,100,2.6768983360379934,341654.0
8,F-10,100,2.778854555916041,1713775745.0
9,F-11,400,3.9490761978086084,5296.0
10,F-12,8100,37.27276168693788,2532185108925.9775
11,F-13,8800,39.929713896941394,0.9301457882092489
