
 fun P-01 | nbb 5 |

 m 800 | t 2.1227687429636717 | y 3.464684022360655 |
 m 1000 | t 2.134045309969224 | y 2.741323998181053 |
 m 1300 | t 2.1510853009531274 | y 1.7998530133731567 |
 m 1500 | t 2.1624868439976126 | y 1.6648310089874983 |
 m 2500 | t 2.219033355009742 | y 1.4467200483592033 |
 m 2600 | t 2.2248634370043874 | y 1.076492989193555 |
 m 2800 | t 2.236224803957157 | y 0.7233600241796017 |
 m 3100 | t 2.253305431921035 | y 0.0 |

 fun P-02 | nbb 10 |

 m 100 | t 2.1747510520508513 | y 9.8216703547666 |
 m 200 | t 2.1830197810195386 | y 7.148109884999517 |
 m 400 | t 2.1976343389833346 | y 3.599706026746314 |
 m 900 | t 2.2334002449642867 | y 3.3296620179749965 |
 m 1300 | t 2.2620020429603755 | y 3.229478967580665 |
 m 1500 | t 2.2763345070416108 | y 2.7413239981810533 |
 m 1600 | t 2.2835184020223096 | y 2.6063019937953946 |
 m 1700 | t 2.2907370140310377 | y 1.882941969615793 |
 m 2400 | t 2.340481263003312 | y 1.076492989193555 |
 m 2500 | t 2.347658775979653 | y 0.7233600241796017 |
 m 3800 | t 2.4395805130479857 | y 0.0 |

 fun P-02 | nbb 15 |

 m 90 | t 2.0766567430691794 | y 8.073748534955541 |
 m 270 | t 2.0953074550488964 | y 4.54117701155421 |
 m 990 | t 2.1638250990072265 | y 4.510151950847506 |
 m 1080 | t 2.1724933249643072 | y 2.3881910331671 |
 m 1980 | t 2.2576016790699214 | y 2.0179639740014514 |
 m 2070 | t 2.2662290680455044 | y 1.6648310089874983 |
 m 2340 | t 2.291886489954777 | y 1.4467200483592033 |
 m 2700 | t 2.3259548710193485 | y 0.9414709848078965 |
 m 3240 | t 2.37708293099422 | y 0.0 |

 fun P-02 | nbb 20 |

 m 100 | t 2.067696674959734 | y 10.48479705900553 |
 m 200 | t 2.0790195589652285 | y 5.835780961376059 |
 m 400 | t 2.100506411981769 | y 4.707354924039483 |
 m 900 | t 2.1508564779069275 | y 3.8178169873746084 |
 m 1200 | t 2.181436392944306 | y 3.4646840223606548 |
 m 1500 | t 2.2119436889188364 | y 2.876346002566712 |
 m 1600 | t 2.2221605390077457 | y 2.7413239981810533 |
 m 1700 | t 2.2323856939328834 | y 2.5232130375527584 |
 m 1900 | t 2.2527605009963736 | y 1.6648310089874983 |
 m 3200 | t 2.384119246969931 | y 1.4467200483592033 |
 m 3300 | t 2.394427379942499 | y 0.9414709848078965 |
 m 3600 | t 2.424961537006311 | y 0.0 |

 fun P-02 | nbb 25 |

 m 100 | t 2.065826201927848 | y 6.244010102129722 |
 m 300 | t 2.0902732820250094 | y 6.09447438668885 |
 m 500 | t 2.113300541997887 | y 5.482647996362107 |
 m 600 | t 2.125275911996141 | y 4.427062994604869 |
 m 900 | t 2.159682653960772 | y 2.3881910331671 |
 m 1500 | t 2.2285123579204082 | y 0.9414709848078965 |
 m 2900 | t 2.389224194921553 | y 0.7233600241796017 |
 m 4200 | t 2.5381963989930227 | y 0.0 |

 fun P-02 | nbb 30 |

 m 90 | t 2.2037869909545407 | y 10.014338814295842 |
 m 180 | t 2.2179953600279987 | y 6.312585347317144 |
 m 540 | t 2.270549630979076 | y 5.264537035733811 |
 m 900 | t 2.322719663963653 | y 5.150423018784472 |
 m 990 | t 2.335566042922437 | y 4.036558827652815 |
 m 1170 | t 2.3605912380153313 | y 3.3296620179749965 |
 m 1530 | t 2.4118170730071142 | y 3.0944569631950065 |
 m 1800 | t 2.45072092092596 | y 2.876346002566712 |
 m 1980 | t 2.476939264917746 | y 2.0179639740014514 |
 m 2340 | t 2.528675777022727 | y 1.7998530133731567 |
 m 2430 | t 2.54180596396327 | y 1.4467200483592033 |
 m 2970 | t 2.619600537000224 | y 0.9414709848078965 |
 m 3060 | t 2.6326710709836334 | y 0.7233600241796017 |
 m 5310 | t 2.9563320219749585 | y 0.0 |

 fun P-02 | nbb 35 |

 m 70 | t 2.028744854964316 | y 7.254687211774952 |
 m 140 | t 2.0443600880680606 | y 5.5035559837984245 |
 m 280 | t 2.0734438580693677 | y 5.113682696496282 |
 m 560 | t 2.13145586499013 | y 4.510151950847506 |
