
 fun P-01 | d 10000 | Log Determinant | 
 m 600 | t 270.2902664289577 | y 3.3329873459951226e+17 | x [ 9 10  9 ...  6  0  9]
 m 1300 | t 576.7640786180273 | y 3.3329873076404474e+17 | x [2 8 9 ... 4 0 3]
 m 1900 | t 838.5085903010331 | y 3.332986923847243e+17 | x [0 5 7 ... 6 1 2]
 m 4000 | t 1781.7092433939688 | y 3.332986888819822e+17 | x [4 1 3 ... 6 8 8]
 m 5500 | t 2438.7529645919567 | y 3.332986327849037e+17 | x [3 8 9 ... 2 3 4]
 m 10000 | t 4423.345294232015 | y 3.332986327849037e+17 | x [3 8 9 ... 2 3 4]

 fun P-08 | d 1000000 | Log Determinant | 

 m 100 | t 51.712173521053046 | y 34951978.0 | x [1 0 9 ... 0 6 2]
 m 200 | t 96.37198238808196 | y 34929818.0 | x [0 1 4 ... 8 5 8]
 m 3300 | t 1488.0196818340337 | y 34927828.0 | x [8 3 8 ... 5 3 6]
 m 10000 | t 4478.609212796087 | y 34927828.0 | x [8 3 8 ... 5 3 6]

 fun P-09 | d 1000000 | Log Determinant | 

 m 100 | t 51.05032679007854 | y 496009.5631743864 | x [10  7  0 ...  5  0  0]
 m 200 | t 94.81548290408682 | y 495599.39813685487 | x [ 6 10  9 ...  8  5  7]
 m 900 | t 410.59605424909387 | y 495531.0748421404 | x [3 0 3 ... 7 2 0]
 m 1000 | t 457.0082966040354 | y 495418.8964316106 | x [4 7 8 ... 4 7 6]
 m 1800 | t 816.4318174300715 | y 495353.41008051595 | x [1 1 8 ... 0 1 8]
 m 2000 | t 906.5469957210589 | y 495337.2046006876 | x [4 1 7 ... 4 6 2]
 m 6200 | t 2796.42634336208 | y 495020.4561148195 | x [ 2 10  8 ...  7  4  8]
 m 10000 | t 4512.012630477082 | y 495020.4561148195 | x [ 2 10  8 ...  7  4  8]

 fun P-10 | d 1000000 | Log Determinant | 

 m 100 | t 51.983904359978624 | y 416797554.2946634 | x [10  7  0 ...  5  0  0]
 m 200 | t 95.25384324102197 | y 416796444.92903507 | x [0 1 4 ... 8 5 8]
 m 400 | t 182.45959523296915 | y 416796170.1152634 | x [ 2 10  6 ...  6  5  2]
 m 800 | t 362.1391568270046 | y 416795830.955212 | x [1 3 4 ... 1 8 4]
 m 10000 | t 4512.735929333954 | y 416795830.955212 | x [1 3 4 ... 1 8 4]
