
 fun P-01 | d 10000 |

 m 4700 | t 20.153932744055055 | y 80.75975 | x [9 1 0 ... 3 2 5]
 m 5100 | t 21.657092847046442 | y 80.17125 | x [0 1 8 ... 4 5 2]
 m 5800 | t 24.299399896990508 | y 79.93875 | x [9 3 3 ... 1 3 9]
 m 6300 | t 26.182459544041194 | y 78.9985 | x [ 9  0  8 ...  1 10  3]
 m 8600 | t 34.90390955703333 | y 78.641 | x [6 8 6 ... 2 5 3]
 m 10000 | t 40.044746257015504 | y 78.641 | x [6 8 6 ... 2 5 3]

 fun P-05 | d 10000 |

 m 100 | t 2.6674943739781156 | y -279.2034498197218 | x [ 6  9  8 ... 10 10  0]
 m 200 | t 3.1193776649888605 | y -306.90294456259676 | x [5 2 5 ... 9 4 5]
 m 900 | t 6.110207388992421 | y -318.9315575180571 | x [ 8  5  8 ...  7 10  4]
 m 1000 | t 6.5372482519596815 | y -322.93019109154255 | x [10  1  9 ...  0  2  8]
 m 1300 | t 7.81013042491395 | y -324.75772256590847 | x [ 3  7 10 ... 10  4  7]
 m 1400 | t 8.241084459004924 | y -346.20242623987104 | x [ 5  7  6 ...  1  2 10]
 m 1900 | t 10.384745560004376 | y -354.8905106512448 | x [3 3 8 ... 6 2 5]
 m 2100 | t 11.23952843400184 | y -362.3969467568879 | x [3 3 8 ... 7 2 6]
 m 2300 | t 12.097773404908367 | y -377.74875213067975 | x [ 0  1  1 ...  5  5 10]
 m 2700 | t 13.811070611001924 | y -386.25447786442936 | x [2 1 0 ... 0 7 5]
 m 3100 | t 15.519049244001508 | y -403.9657441114552 | x [9 1 8 ... 8 4 4]
 m 3900 | t 18.95266405097209 | y -421.3398441054828 | x [3 3 4 ... 1 2 0]
 m 4100 | t 19.81175098696258 | y -424.68607753902273 | x [0 9 8 ... 1 2 0]
 m 4900 | t 23.236994360922836 | y -459.4511429106262 | x [6 0 0 ... 9 7 5]
 m 6200 | t 28.81166259595193 | y -462.1068990535533 | x [8 4 7 ... 3 4 2]
 m 6800 | t 31.404054841957986 | y -469.71836344512957 | x [1 7 7 ... 7 4 7]
 m 7000 | t 32.26321998692583 | y -472.5768433995478 | x [3 9 5 ... 6 7 2]
 m 7600 | t 34.84126007196028 | y -472.7275448806993 | x [0 7 4 ... 6 2 7]
 m 7800 | t 35.69769528694451 | y -473.8842144413386 | x [8 4 2 ... 7 2 9]
