
 fun P-01 | d 1000000 | Facility Location | 
 m 3700 | t 18.73020964593161 | y 4166928.1303925123 | x [3 0 6 ... 6 8 7]
 m 4500 | t 22.29909750400111 | y 4166882.015389995 | x [7 7 3 ... 4 8 8]
 m 4700 | t 23.189775844919495 | y 4166858.247195723 | x [ 6  1  6 ... 10  6 10]
 m 5100 | t 24.996677505900152 | y 4166851.196529514 | x [0 1 4 ... 7 8 6]
 m 5800 | t 28.135868993937038 | y 4166839.9534933534 | x [3 9 3 ... 3 3 9]
 m 5900 | t 28.575568688916974 | y 4166804.1738965693 | x [3 6 4 ... 6 3 7]
 m 6300 | t 30.36292575497646 | y 4166796.2533427123 | x [2 0 4 ... 7 9 4]
 m 6400 | t 30.818794231978245 | y 4166789.3003959223 | x [6 1 5 ... 8 3 4]
 m 6900 | t 33.044662893982604 | y 4166760.3637996675 | x [0 4 0 ... 1 3 8]
 m 7000 | t 33.489038954954594 | y 4166739.839798902 | x [6 9 4 ... 3 9 8]
 m 7100 | t 33.93154917296488 | y 4166680.49106871 | x [ 3  1 10 ...  7  5  6]
 m 7200 | t 34.37830837792717 | y 4166660.01006692 | x [ 5 10  4 ...  5  4  6]
 m 7300 | t 34.818457894958556 | y 4166575.119706824 | x [ 6  1  3 ...  8  7 10]
 m 8300 | t 39.297471778001636 | y 4166415.4390900554 | x [10  1  0 ...  9  3  9]
 m 10000 | t 46.745090720942244 | y 4166415.4390900554 | x [10  1  0 ...  9  3  9]
