


 fun P-01 | nbb 5 |

 m 3500 | t 2.9456775720464066 | y 1.4561280949311026 |
 m 8400 | t 3.860318295075558 | y 0.0 |

 fun P-02 | nbb 5 |

 m 100 | t 2.071697727078572 | y 8.110488857243732 |
 m 200 | t 2.078688299981877 | y 5.956871999206709 |
 m 600 | t 2.101651916047558 | y 5.4826479963621075 |
 m 700 | t 2.107436813064851 | y 3.599706026746314 |
 m 900 | t 2.1190268070204183 | y 3.2465730617323603 |
 m 1100 | t 2.1304491120390594 | y 2.3881910331671 |
 m 1500 | t 2.1532383270096034 | y 1.6648310089874983 |
 m 2400 | t 2.2042153839720413 | y 1.4467200483592033 |
 m 2600 | t 2.215716277016327 | y 0.7233600241796017 |
 m 3500 | t 2.2656096890568733 | y 0.0 |

 fun P-02 | nbb 10 |

 m 100 | t 2.1779132479568943 | y 3.8184478670245205 |
 m 900 | t 2.235927745932713 | y 2.876346002566712 |
 m 1200 | t 2.2575659099966288 | y 2.7413239981810533 |
 m 1600 | t 2.286207038909197 | y 0.7233600241796017 |
 m 4600 | t 2.4911789499456063 | y 0.0 |

 fun P-02 | nbb 15 |

 m 90 | t 2.0514812889741734 | y 7.894327400062005 |
 m 270 | t 2.074542499962263 | y 4.54117701155421 |
 m 540 | t 2.100619127973914 | y 3.8178169873746084 |
 m 1080 | t 2.15041935199406 | y 3.465314902010567 |
 m 1350 | t 2.1752259229542688 | y 2.741323998181053 |
 m 1530 | t 2.1917351220035926 | y 2.3881910331670997 |
 m 2070 | t 2.240939668030478 | y 2.0185948536513636 |
 m 2250 | t 2.2573790949536487 | y 1.4467200483592033 |
 m 2430 | t 2.273835333995521 | y 0.7233600241796017 |
 m 4770 | t 2.4859605960082263 | y 0.0 |

 fun P-02 | nbb 20 |

 m 100 | t 2.0675420180195943 | y 5.233511975027108 |
 m 400 | t 2.0987682190025225 | y 4.188044046540257 |
 m 700 | t 2.128401770023629 | y 2.959434958809348 |
 m 1200 | t 2.177251724060625 | y 2.3881910331671 |
 m 2300 | t 2.2840930010424927 | y 2.0179639740014514 |
 m 2600 | t 2.31313799705822 | y 1.7998530133731567 |
 m 2800 | t 2.3325999740045518 | y 1.6648310089874983 |
 m 3200 | t 2.3711739260470495 | y 0.7233600241796017 |
 m 5300 | t 2.5734424310503528 | y 0.0 |

 fun P-02 | nbb 25 |

 m 100 | t 2.0692002420546487 | y 6.445657848256234 |
 m 400 | t 2.1046818000031635 | y 5.971433845411632 |
 m 500 | t 2.115850214031525 | y 5.368533979412765 |
 m 600 | t 2.1269813070539385 | y 4.894940856218076 |
 m 700 | t 2.1381276190513745 | y 4.171580832038474 |
 m 1200 | t 2.193278048071079 | y 2.7413239981810533 |
 m 1700 | t 2.2479575329925865 | y 0.7233600241796017 |
 m 4200 | t 2.521120816003531 | y 0.0 |

 fun P-02 | nbb 30 |

 m 90 | t 2.2138165660435334 | y 7.31655711146041 |
 m 360 | t 2.2544553220504895 | y 5.586644940041061 |
 m 630 | t 2.2923467800719664 | y 4.188044046540257 |
 m 720 | t 2.305055975099094 | y 4.170949952388561 |
 m 900 | t 2.3301820900524035 | y 2.741954877830965 |
 m 1170 | t 2.367853431031108 | y 2.6063019937953946 |
 m 1440 | t 2.4054258830146864 | y 2.3881910331671 |
 m 2250 | t 2.5173369320109487 | y 2.0185948536513636 |
 m 2700 | t 2.579591309069656 | y 1.4467200483592033 |
 m 3150 | t 2.6414355280576274 | y 0.9414709848078965 |
 m 4050 | t 2.765049795038067 | y 0.7233600241796017 |
 m 4770 | t 2.863890474080108 | y 0.0 |

 fun P-02 | nbb 35 |

 m 70 | t 2.0261790090007707 | y 7.254687211774952 |
 m 140 | t 2.0418621230637655 | y 6.777882825833869 |
 m 770 | t 2.1667235440108925 | y 3.900905943617244 |
 m 980 | t 2.2081218600505963 | y 3.6827949829889497 |
 m 1400 | t 2.2911412640241906 | y 2.3881910331671 |
 m 2660 | t 2.537339083966799 | y 1.7998530133731567 |
 m 3080 | t 2.6194937790278345 | y 1.4467200483592033 |
 m 3710 | t 2.7422083909623325 | y 0.7233600241796017 |
 m 4760 | t 2.9466555670369416 | y 0.0 |

 fun P-02 | nbb 40 |

 m 80 | t 1.9998672360088676 | y 4.978029812460711 |
 m 480 | t 2.078307098010555 | y 4.759287972182505 |
 m 800 | t 2.1393608279759064 | y 3.4646840223606548 |
 m 1680 | t 2.3069856339134276 | y 3.0950878428449187 |
 m 2080 | t 2.3824920849874616 | y 1.7998530133731567 |
 m 3280 | t 2.608634382020682 | y 1.6648310089874983 |
 m 4000 | t 2.7441332909511402 | y 1.076492989193555 |
 m 5280 | t 2.985538854962215 | y 0.7233600241796017 |
 m 6640 | t 3.241183034959249 | y 0.0 |

 fun P-02 | nbb 45 |

 m 90 | t 2.027013090904802 | y 6.66439968853444 |
 m 180 | t 2.0461247039493173 | y 5.836411841025972 |
 m 720 | t 2.151240519946441 | y 4.510151950847506 |
 m 900 | t 2.1850101329619065 | y 2.876346002566712 |
 m 1890 | t 2.3678997989045456 | y 2.0179639740014514 |
 m 2340 | t 2.45263350289315 | y 1.7998530133731567 |
 m 3060 | t 2.5869229389354587 | y 1.6648310089874983 |
 m 4590 | t 2.8725859199184924 | y 0.9414709848078965 |
 m 5670 | t 3.0710896078962833 | y 0.7233600241796017 |
 m 7470 | t 3.3985021909466013 | y 0.0 |

 fun P-02 | nbb 50 |

 m 100 | t 2.058323392062448 | y 7.181535107074751 |
 m 300 | t 2.102517038001679 | y 5.836411841025972 |
 m 500 | t 2.1385670140152797 | y 4.759287972182505 |
 m 700 | t 2.1744339630240574 | y 4.541807891204122 |
 m 1300 | t 2.2823308419901878 | y 4.271133002782893 |
 m 1600 | t 2.336354032973759 | y 2.8934400967184066 |
 m 2000 | t 2.4085024170344695 | y 2.7413239981810533 |
 m 3600 | t 2.697567878989503 | y 1.7998530133731567 |
 m 5100 | t 2.9688638820080087 | y 0.9414709848078965 |
 m 6800 | t 3.2714825889561325 | y 0.0 |

 fun P-03 | nbb 5 |

 m 100 | t 2.20742091210559 | y -3.442477108469977e-14 |
 m 200 | t 2.214368193061091 | y -6.224144622907783e-11 |
 m 300 | t 2.220100831007585 | y -5.602796437537268e-09 |
 m 400 | t 2.2257433290360495 | y -1.8553913626159784e-07 |
 m 600 | t 2.2368060430744663 | y -0.0015034391929775724 |
 m 900 | t 2.2533179470337927 | y -0.004086771438464067 |
 m 1100 | t 2.2643039349932224 | y -0.011108996538242306 |
 m 2000 | t 2.313934087054804 | y -0.01831563888873418 |
 m 2100 | t 2.319471406051889 | y -0.0820849986238988 |
 m 2500 | t 2.341301813023165 | y -0.22313016014842982 |
 m 3100 | t 2.3737844260176644 | y -0.36787944117144233 |
 m 3500 | t 2.3956012279959396 | y -0.6065306597126334 |
 m 4400 | t 2.444301057024859 | y -1.0 |

 fun P-03 | nbb 10 |

 m 100 | t 2.063946663052775 | y -1.026187963170189e-10 |
 m 200 | t 2.0723790790652856 | y -2.061153622438558e-09 |
 m 400 | t 2.086960735032335 | y -5.04347662567888e-07 |
 m 500 | t 2.094056547037326 | y -1.670170079024566e-05 |
 m 800 | t 2.1147384580690414 | y -0.01831563888873418 |
 m 1700 | t 2.1765147380065173 | y -0.22313016014842982 |
 m 3400 | t 2.2919596360297874 | y -0.36787944117144233 |
 m 4000 | t 2.3339857030659914 | y -0.6065306597126334 |
 m 4600 | t 2.3749956930987537 | y -1.0 |

 fun P-03 | nbb 15 |

 m 90 | t 2.0321644180221483 | y -1.013009359863071e-05 |
 m 720 | t 2.091881152940914 | y -0.00012340980408667956 |
 m 990 | t 2.1166292020352557 | y -0.0005530843701478336 |
 m 1530 | t 2.1655671829357743 | y -0.004086771438464067 |
 m 1620 | t 2.1739219420123845 | y -0.6065306597126334 |
 m 4500 | t 2.4342506419634447 | y -1.0 |

 fun P-03 | nbb 20 |

 m 100 | t 2.0827121400507167 | y -2.543665647376923e-13 |
 m 300 | t 2.104212793055922 | y -1.013009359863071e-05 |
 m 400 | t 2.1142811910249293 | y -0.0024787521766663585 |
 m 1300 | t 2.203552728984505 | y -0.004086771438464067 |
 m 2000 | t 2.2723938929848373 | y -0.006737946999085467 |
 m 2700 | t 2.341043664026074 | y -0.01831563888873418 |
 m 3000 | t 2.3704706340795383 | y -0.049787068367863944 |
 m 3100 | t 2.3802499340381473 | y -0.22313016014842982 |
 m 3600 | t 2.428775632986799 | y -0.36787944117144233 |
 m 4000 | t 2.480414684046991 | y -0.6065306597126334 |
 m 5900 | t 2.6713883460033685 | y -1.0 |

 fun P-03 | nbb 25 |

 m 100 | t 2.1926815980114043 | y -3.442477108469977e-14 |
 m 300 | t 2.2171011839527637 | y -3.398267819495071e-09 |
 m 600 | t 2.2521035339450464 | y -8.315287191035679e-07 |
 m 1000 | t 2.296168616041541 | y -2.7536449349747158e-05 |
 m 1500 | t 2.3516502529382706 | y -0.0820849986238988 |
 m 3400 | t 2.564493275946006 | y -0.22313016014842982 |
 m 4700 | t 2.705478335963562 | y -0.36787944117144233 |
 m 6000 | t 2.8463685759343207 | y -0.6065306597126334 |
 m 7000 | t 2.955266022006981 | y -1.0 |

 fun P-03 | nbb 30 |

 m 90 | t 2.086805561091751 | y -2.510999155743982e-08 |
 m 180 | t 2.101115551078692 | y -4.139937718785167e-08 |
 m 360 | t 2.1270769810071215 | y -1.3709590863840845e-06 |
 m 1080 | t 2.230724613997154 | y -0.011108996538242306 |
 m 1440 | t 2.281451035058126 | y -0.0301973834223185 |
 m 2520 | t 2.4366913409903646 | y -0.049787068367863944 |
 m 2610 | t 2.4496206829790026 | y -0.0820849986238988 |
 m 2880 | t 2.488454407081008 | y -0.22313016014842982 |
 m 3690 | t 2.6017466350458562 | y -0.36787944117144233 |
 m 4590 | t 2.725645882077515 | y -0.6065306597126334 |
 m 7200 | t 3.0835491720354185 | y -1.0 |

 fun P-03 | nbb 35 |

 m 70 | t 2.035811682930216 | y -1.8553913626159784e-07 |
 m 350 | t 2.09430773393251 | y -5.04347662567888e-07 |
 m 560 | t 2.1369055539835244 | y -4.5399929762484854e-05 |
 m 770 | t 2.178509169956669 | y -0.01831563888873418 |
 m 1540 | t 2.3314349979627877 | y -0.049787068367863944 |
 m 2310 | t 2.4828351630130783 | y -0.1353352832366127 |
 m 2730 | t 2.565424553002231 | y -0.6065306597126334 |
 m 8260 | t 3.646416586940177 | y -1.0 |

 fun P-03 | nbb 40 |

 m 80 | t 2.0185963650001213 | y -3.059023205018258e-07 |
 m 240 | t 2.05094646604266 | y -4.5399929762484854e-05 |
 m 800 | t 2.1587336270604283 | y -0.0005530843701478336 |
 m 880 | t 2.1739705950021744 | y -0.004086771438464067 |
 m 2640 | t 2.5096702890004963 | y -0.0820849986238988 |
 m 3120 | t 2.6029607160016894 | y -0.1353352832366127 |
 m 4720 | t 2.910769643029198 | y -0.36787944117144233 |
 m 5840 | t 3.1229731839848682 | y -1.0 |

 fun P-03 | nbb 45 |

 m 90 | t 2.039759989012964 | y -5.109089028063325e-12 |
 m 270 | t 2.0755618740804493 | y -7.582560427911907e-10 |
 m 450 | t 2.111030208063312 | y -2.061153622438558e-09 |
 m 540 | t 2.128052380052395 | y -3.059023205018258e-07 |
 m 810 | t 2.1783379249973223 | y -3.726653172078671e-06 |
 m 900 | t 2.1951568820513785 | y -0.00020346836901064417 |
 m 990 | t 2.2116596590494737 | y -0.004086771438464067 |
 m 1440 | t 2.294601276051253 | y -0.011108996538242306 |
 m 3780 | t 2.7228712420910597 | y -0.049787068367863944 |
 m 4140 | t 2.7891133980592713 | y -0.22313016014842982 |
 m 4320 | t 2.8219223800115287 | y -0.36787944117144233 |
 m 7560 | t 3.4215743250679225 | y -0.6065306597126334 |

 fun P-03 | nbb 50 |

 m 100 | t 2.207779002026655 | y -1.8795288165390832e-12 |
 m 200 | t 2.22760570095852 | y -1.670170079024566e-05 |
 m 1100 | t 2.392888435977511 | y -0.01831563888873418 |
 m 1800 | t 2.520341321011074 | y -0.049787068367863944 |
 m 3500 | t 2.824123624013737 | y -0.36787944117144233 |
 m 8400 | t 3.703707634937018 | y -1.0 |

 fun P-04 | nbb 5 |

 m 100 | t 2.075295499060303 | y 0.5773810797106887 |
 m 300 | t 2.0879963990300894 | y 0.41395824281533167 |
 m 500 | t 2.099306171061471 | y 0.29488992233131517 |
 m 1400 | t 2.149299642071128 | y 0.29426927584173235 |
 m 1500 | t 2.154941378044896 | y 0.2800948464924202 |
 m 1600 | t 2.1605691181030124 | y 0.21130908129987636 |
 m 1800 | t 2.1716748831095174 | y 0.11497092425176214 |
 m 2600 | t 2.2157076430739835 | y 0.06440764161308299 |
 m 4100 | t 2.298391412012279 | y 0.03590709735300279 |
 m 4400 | t 2.3150541220093146 | y 0.031164856674817054 |
 m 4700 | t 2.3316792011028156 | y 0.0 |

 fun P-04 | nbb 10 |

 m 100 | t 2.059347965987399 | y 0.7338367739065641 |
 m 200 | t 2.067908484954387 | y 0.6362417855997866 |
 m 300 | t 2.0754851599922404 | y 0.6104003454957102 |
 m 400 | t 2.082701590959914 | y 0.3369501393914507 |
 m 800 | t 2.1107743529137224 | y 0.27328127722722306 |
 m 1600 | t 2.166838845005259 | y 0.24696401021337078 |
 m 1700 | t 2.1740583919454366 | y 0.21118954243689692 |
 m 1900 | t 2.1881297199288383 | y 0.17616015792129835 |
 m 2100 | t 2.2021966689499095 | y 0.17386812925121742 |
 m 2400 | t 2.2231988159473985 | y 0.13713498749056685 |
 m 3100 | t 2.272193023003638 | y 0.06533304908829307 |
 m 3600 | t 2.307111413916573 | y 0.024568463628673376 |
 m 5800 | t 2.459452522918582 | y 0.023510585308394893 |
 m 6200 | t 2.487473747925833 | y 0.0 |

 fun P-04 | nbb 15 |

 m 90 | t 2.045675845001824 | y 0.35967038846734145 |
 m 630 | t 2.0998605319764465 | y 0.2874802528142889 |
 m 1170 | t 2.1531041850103065 | y 0.18670065796375745 |
 m 2520 | t 2.2797302820254117 | y 0.14258715756112395 |
 m 3330 | t 2.358402104000561 | y 0.13415294833540947 |
 m 3510 | t 2.3754288150230423 | y 0.1323406880082757 |
 m 3960 | t 2.4176227590069175 | y 0.11497092425176214 |
 m 4140 | t 2.4346649090293795 | y 0.10072616841779403 |
 m 4410 | t 2.4603247770573944 | y 0.07748658408307463 |
 m 5130 | t 2.5279281040420756 | y 0.05936011018917953 |
 m 5490 | t 2.5618608470540494 | y 0.024568463628673376 |
 m 7740 | t 2.770848170039244 | y 0.0 |

 fun P-04 | nbb 20 |

 m 100 | t 2.184584168018773 | y 0.7476928089787993 |
 m 200 | t 2.196404878050089 | y 0.5802234800619075 |
 m 700 | t 2.2470194270135835 | y 0.19339910600807775 |
 m 1000 | t 2.2770675340434536 | y 0.16766977450035425 |
 m 4900 | t 2.6683691641082987 | y 0.10309634857675853 |
 m 8300 | t 3.0129505360964686 | y 0.06412397856287133 |
 m 8900 | t 3.072719710995443 | y 0.05479621985248262 |

 fun P-04 | nbb 25 |

 m 100 | t 2.069280616939068 | y 0.9024009419287873 |
 m 200 | t 2.08252704993356 | y 0.7443033762425895 |
 m 400 | t 2.1056554690003395 | y 0.5123991305768983 |
 m 800 | t 2.151348346960731 | y 0.43180750864713213 |
 m 1400 | t 2.219951118924655 | y 0.35301277365594386 |
 m 1600 | t 2.242680209921673 | y 0.34830103102235677 |
 m 2100 | t 2.3008644309593365 | y 0.30786481613613936 |
 m 2300 | t 2.3236943329684436 | y 0.29563856296434343 |
 m 2900 | t 2.3916878099553287 | y 0.24900141701030953 |
 m 3000 | t 2.4032190720317885 | y 0.22760060845990793 |
 m 3400 | t 2.448754351004027 | y 0.1396959186132316 |
 m 3700 | t 2.4828691789880395 | y 0.074928687126945 |
 m 5200 | t 2.6511854049749672 | y 0.05048098127111167 |
 m 5900 | t 2.7295891490066424 | y 0.031164856674817054 |

 fun P-04 | nbb 30 |

 m 90 | t 2.083118530921638 | y 0.25487395512371736 |
 m 3420 | t 2.5575000289827585 | y 0.2527500024899283 |
 m 3780 | t 2.6084707839181647 | y 0.23723066910834412 |
 m 4860 | t 2.760697586927563 | y 0.19949650547501563 |
 m 5760 | t 2.8874288329388946 | y 0.14048824282012362 |
 m 7200 | t 3.0908866529352963 | y 0.1354925436118508 |
 m 9990 | t 3.4868351930053905 | y 0.11228776130005813 |

 fun P-04 | nbb 35 |

 m 70 | t 2.029027041979134 | y 0.8004480790826486 |
 m 140 | t 2.0452364230295643 | y 0.554627088053506 |
 m 210 | t 2.059998258948326 | y 0.37243818679922414 |
 m 560 | t 2.131769218016416 | y 0.2989610861001929 |
 m 2870 | t 2.6019425180274993 | y 0.2556955412062625 |
 m 4270 | t 2.8846217920072377 | y 0.2318085192870224 |
 m 7910 | t 3.6187432350125164 | y 0.1516967915029418 |

 fun P-04 | nbb 40 |

 m 80 | t 2.0096809040987864 | y 0.21432445204357653 |
 m 9760 | t 3.8937309270258993 | y 0.185686441563233 |

 fun P-04 | nbb 45 |

 m 90 | t 2.1506316890008748 | y 0.7081602277229826 |
 m 270 | t 2.187599975964986 | y 0.362880046485627 |
 m 720 | t 2.275903278030455 | y 0.200560207381155 |

 fun P-04 | nbb 50 |

 m 100 | t 2.034536637016572 | y 0.8631343144784807 |
 m 200 | t 2.055354414973408 | y 0.7270335795146288 |
 m 400 | t 2.094686324009672 | y 0.6610019009388871 |
 m 700 | t 2.151123480987735 | y 0.5957491496437343 |
 m 1400 | t 2.2816019019810483 | y 0.5065191127173513 |
 m 1500 | t 2.3002763770055026 | y 0.31682383267898373 |
 m 2400 | t 2.466741212992929 | y 0.2909804866834521 |

 fun P-05 | nbb 5 |

 m 100 | t 2.0712041340302676 | y -1.9817231424385824 |
 m 200 | t 2.0781901590526104 | y -2.085834965702418 |
 m 500 | t 2.0954275790136307 | y -2.1683390907070175 |
 m 800 | t 2.1122886249795556 | y -2.810301909173012 |
 m 900 | t 2.117977721034549 | y -3.117215073261297 |
 m 1100 | t 2.129238390014507 | y -3.2273035682285127 |
 m 1500 | t 2.1514852669788525 | y -3.5183905360012 |
 m 2000 | t 2.1792790309991688 | y -3.685718494752415 |
 m 2600 | t 2.212585535016842 | y -3.7006870920738777 |
 m 2900 | t 2.229264697059989 | y -3.823482475616157 |
 m 3000 | t 2.2348782799672335 | y -4.034131358133101 |

 fun P-05 | nbb 10 |

 m 100 | t 2.0623167550656945 | y -2.9465490165196044 |
 m 1000 | t 2.127465538098477 | y -3.700695639024465 |
 m 2300 | t 2.2182559760985896 | y -3.8230329357077335 |
 m 2600 | t 2.239296796033159 | y -3.8234828431741676 |
 m 2800 | t 2.253481940017082 | y -3.8339859711483006 |
 m 2900 | t 2.26052855909802 | y -3.83720958702994 |
 m 3200 | t 2.2814925040584058 | y -3.8976174101276264 |
 m 3300 | t 2.288585321046412 | y -4.02041279366995 |
 m 3800 | t 2.323445933056064 | y -4.034131358133101 |

 fun P-05 | nbb 15 |

 m 90 | t 2.0431893420172855 | y -2.459468709247167 |
 m 270 | t 2.0620759580051526 | y -2.464624430319879 |
 m 630 | t 2.096297016949393 | y -2.9248545668947132 |
 m 810 | t 2.1132610889617354 | y -3.518381989050681 |
 m 1710 | t 2.1990687389625236 | y -3.55399333142159 |
 m 1800 | t 2.2076300909975544 | y -3.835951007221041 |
 m 2070 | t 2.2330572369974107 | y -3.837201407637319 |
 m 2520 | t 2.2751561020268127 | y -3.83720958702994 |
 m 2700 | t 2.2920595379546285 | y -4.034131358133101 |

 fun P-05 | nbb 20 |

 m 100 | t 2.1973788359900936 | y -2.2221656135687065 |
 m 400 | t 2.22936881496571 | y -2.320737051576334 |
 m 500 | t 2.2397917850175872 | y -2.565114560207291 |
 m 600 | t 2.2499841389944777 | y -3.2869642693382364 |
 m 1100 | t 2.300075876992196 | y -3.715312307104493 |
 m 2500 | t 2.439983193995431 | y -3.722870721557759 |
 m 3100 | t 2.499410380027257 | y -3.8372010400792895 |
 m 3200 | t 2.5094089559279382 | y -4.034131358133101 |

 fun P-05 | nbb 25 |

 m 100 | t 2.0691837350605056 | y -1.7660639949369947 |
 m 200 | t 2.082293840008788 | y -2.154181059490352 |
 m 300 | t 2.0942886699922383 | y -2.3244964072265453 |
 m 400 | t 2.1058674619998783 | y -2.6811834121879063 |
 m 1100 | t 2.1858973490307108 | y -3.03735414088809 |
 m 1300 | t 2.2086233240552247 | y -3.175849745320769 |
 m 1500 | t 2.2311764530604705 | y -3.3814185011368005 |
 m 1600 | t 2.242724907002412 | y -3.3823932154633916 |
 m 1900 | t 2.2767421290045604 | y -3.6837534586796736 |
 m 2200 | t 2.3103984480258077 | y -3.700695639024465 |
 m 2300 | t 2.321643006056547 | y -3.7153128862712625 |
 m 2800 | t 2.3798663100460544 | y -3.723167510928618 |
 m 3000 | t 2.4031870630569756 | y -3.883898845664475 |
 m 3500 | t 2.460129900020547 | y -4.034131358133101 |

 fun P-05 | nbb 30 |

 m 90 | t 2.0992454880615696 | y -1.9181811742847967 |
 m 180 | t 2.113901093020104 | y -2.8645885585361817 |
 m 1260 | t 2.2672215689672157 | y -2.934788487387049 |
 m 1350 | t 2.2801180799724534 | y -2.971612229817904 |
